% Model:              Grotthus_multi_3.5a_w.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jun 7 2016, 17:13
% Dimension:          2
% Nodes:              100
% Expressions:        4
% Description:        Dependent variable wO, Dependent variable wH2OCat, , Dependent variable p
% Length unit:        m
% x                       y                        wO (1)                   wH2OCat (1)              wN (1)                   p (1)
2.0E-4                    0                        0.12249457574427133      0.4068099996305233       0.47069542462520536      101543.71484071661
2.0E-4                    2.0202020202020203E-5    0.1225167806255808       0.4067677546999241       0.4707154646744951       101544.99651437312
2.0E-4                    4.0404040404040405E-5    0.12258330845342365      0.4066411895449275       0.4707755020016488       101548.85680711457
2.0E-4                    6.060606060606061E-5     0.12269385368683228      0.4064308994319597       0.470875246881208        101555.33269753071
2.0E-4                    8.080808080808081E-5     0.12284795837345669      0.40613777800432993      0.4710142636222133       101564.4967250614
2.0E-4                    1.0101010101010101E-4    0.123044902223598        0.40576322850614144      0.4711918692702606       101576.44211132459
2.0E-4                    1.2121212121212122E-4    0.12328377465430121      0.4053090250488388       0.47140720029686         101591.29418416545
2.0E-4                    1.414141414141414E-4     0.12356341625542211      0.40477742503142294      0.47165915871315495      101609.20782366575
2.0E-4                    1.6161616161616162E-4    0.1238824046009348       0.40417119598298534      0.47194639941607985      101630.36862167137
2.0E-4                    1.8181818181818183E-4    0.12423903405776349      0.403493653759772        0.47226731218246454      101654.99464147247
2.0E-4                    2.0202020202020202E-4    0.12463129145631573      0.40274870836048976      0.47262000018319456      101683.33770158376
2.0E-4                    2.2222222222222223E-4    0.12505683505664938      0.40194090299496027      0.4730022619483903       101715.68500488614
2.0E-4                    2.4242424242424245E-4    0.1255129747085508       0.4010754503377858       0.47341157495366337      101752.36054771805
2.0E-4                    2.6262626262626266E-4    0.12599665671725827      0.4001582591201421       0.4738450841625997       101793.72632263688
2.0E-4                    2.828282828282828E-4     0.12650445447437836      0.3991959488879181       0.4742995966377036       101840.18252254128
2.0E-4                    3.0303030303030303E-4    0.12703256856811657      0.3981958458591024       0.474771585572781        101892.1678976504
2.0E-4                    3.2323232323232324E-4    0.12757683674832887      0.3971659589519848       0.4752572042996863       101950.15726391168
2.0E-4                    3.4343434343434346E-4    0.1281327536724239       0.3961149362227919       0.47575231010478414      102014.65586457681
2.0E-4                    3.6363636363636367E-4    0.12869550256133652      0.3950519977871034       0.47625249965156         102086.18909582599
2.0E-4                    3.8383838383838383E-4    0.12925999827670065      0.39398684633819325      0.4767531553851061       102165.28353628922
2.0E-4                    4.0404040404040404E-4    0.12982094377020786      0.39292955191280765      0.47724950431698454      102252.43478060987
2.0E-4                    4.2424242424242425E-4    0.13037291254096012      0.3918903876167748       0.47773669984226513      102348.05734626965
2.0E-4                    4.4444444444444447E-4    0.1309104883465859       0.39087955796795903      0.47820995368545505      102452.41246693156
2.0E-4                    4.646464646464647E-4     0.13142849684734648      0.38990675595202234      0.4786647472006312       102565.51668564462
2.0E-4                    4.848484848484849E-4     0.13192238632342668      0.3889804441357614       0.47909716954081194      102687.05907122213
2.0E-4                    5.05050505050505E-4      0.13238868951598298      0.3881069903783493       0.4795043201056678       102816.36371122126
2.0E-4                    5.252525252525253E-4     0.1328254839174648       0.3872898162261474       0.4798846998563879       102952.43051039023
2.0E-4                    5.454545454545455E-4     0.13323260372153117      0.38652902101709036      0.4802383752613784       103094.066085289
2.0E-4                    5.656565656565656E-4     0.13361148928664573      0.3858216903903243       0.4805668203230299       103240.05185596783
2.0E-4                    5.858585858585859E-4     0.13396474779845266      0.3851627424094298       0.4808725097921175       103389.2820393508
2.0E-4                    6.060606060606061E-4     0.13429561004351825      0.3845459595970023       0.4811584303594795       103540.8382577553
2.0E-4                    6.262626262626263E-4     0.13460746174427943      0.3839648718935883       0.4814276663621323       103694.00433802944
2.0E-4                    6.464646464646465E-4     0.13490352905116224      0.38341334386041515      0.48168312708842265      103848.2434843159
2.0E-4                    6.666666666666666E-4     0.13518670725135395      0.38288589021519226      0.4819274025334538       104003.16371101848
2.0E-4                    6.868686868686869E-4     0.1354594978465987       0.38237778719767396      0.4821627149557273       104158.4820098349
2.0E-4                    7.070707070707071E-4     0.13572400983960842      0.3818850640691859       0.4823909260912057       104313.99481381975
2.0E-4                    7.272727272727273E-4     0.1359819891765834       0.3814044428857465       0.4826135679376701       104469.55646171108
2.0E-4                    7.474747474747475E-4     0.13623486606215013      0.3809332457731377       0.4828318881647121       104625.06220880765
2.0E-4                    7.676767676767677E-4     0.1364838008989444       0.3804693058247097       0.48304689327634587      104780.43690836075
2.0E-4                    7.878787878787879E-4     0.13672972975281017      0.38001087967804814      0.4832593905691417       104935.62647135626
2.0E-4                    8.080808080808081E-4     0.13697340352725948      0.37955657253795416      0.48347002393478633      105090.59200924488
2.0E-4                    8.282828282828283E-4     0.1372154221722854       0.3791052730010376       0.483679304826677        105245.30555425516
2.0E-4                    8.484848484848485E-4     0.1374562626822599       0.3786560998792611       0.48388763743847896      105399.74707837276
2.0E-4                    8.686868686868687E-4     0.13769630281109324      0.3782083573281653       0.48409533986074144      105553.90224912879
2.0E-4                    8.888888888888889E-4     0.13793584013017232      0.37776149889298427      0.4843026609768434       105707.76086518975
2.0E-4                    9.090909090909091E-4     0.1381751072124232       0.3773150989388481       0.48450979384872866      105861.31572887365
2.0E-4                    9.292929292929294E-4     0.1384142841657508       0.37686882916120906      0.4847168866730402       106014.56176653565
2.0E-4                    9.494949494949495E-4     0.13865350813317942      0.37642244081099147      0.4849240510558291       106167.49543083506
2.0E-4                    9.696969696969698E-4     0.13889288098366587      0.3759757503803828       0.4851313686359514       106320.1142110073
2.0E-4                    9.8989898989899E-4       0.13913247502241258      0.3755286289870555       0.4853388959905319       106472.41628256669
